global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,4,-171.02765625,6.34028125,-167.62477334223732,-1195.0,35.0,-1172.7024576487236,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773323229.398423
200,7,-314.4192117773437,12.35574863671875,-305.9727894241448,-400.0,11.0,-397.23567361932305,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773323229.4350405
300,9,-405.2758386290527,16.733563144638673,-392.8631762573918,-2055.0,105.0,-1960.60341086843,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773323229.4735744
400,13,-564.7809847873547,21.81641051607785,-548.7370294747861,-920.0,31.0,-904.5637957584831,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773323229.51613
500,17,-583.3105169904552,22.93790896791113,-568.2724969591271,-870.0,30.0,-854.9044451034143,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773323229.5544283
600,21,-679.603374279457,27.423895216294664,-661.7215957593021,-1025.0,37.0,-1006.7643991578904,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773323229.5911918
700,24,-801.8680680228493,30.816062161070633,-779.4279953927366,-1270.0,41.0,-1241.3651071197019,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773323229.6376104
800,28,-816.2697093300359,30.267987730580536,-794.4203272142047,-1750.0,56.0,-1695.6091318121244,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773323229.677144
900,31,-847.6798670368394,30.856390980506486,-825.3711426152339,-750.0,27.0,-738.7598349944137,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773323229.7161632
1000,34,-998.54952600071,37.65137321691174,-968.8249664864011,-1700.0,58.0,-1652.2916341781136,0.8698995558891751,0.8698995558891751,0.7732440496792667,0.7732440496792667,1773323229.7542706
1100,36,-1057.3409472156404,40.97536432826285,-1024.4943674189037,-900.0,24.0,-887.6584887999093,0.8681606266769526,0.8681606266769526,0.7716983348239579,0.7716983348239579,1773323229.7919972
1200,41,-960.500694393656,37.395319261827275,-932.9791562970324,-445.0,11.0,-442.2791751737417,0.8638284964725682,0.8638284964725682,0.7678475524200608,0.7678475524200608,1773323229.8298578
1300,45,-963.8237249629726,37.4951462595037,-936.7133833528621,-1825.0,59.0,-1765.7821710732778,0.8603783620032066,0.8603783620032066,0.7647807662250726,0.7647807662250726,1773323229.8696954
1400,50,-935.5757614240908,35.87797973687839,-910.9580637660434,-1195.0,41.0,-1167.1544733465948,0.8560850653773279,0.8560850653773279,0.7609645025576249,0.7609645025576249,1773323229.9132895
1500,52,-1044.7321246852418,39.70987671253274,-1011.4457692298655,-920.0,25.0,-908.5346737102461,0.8543737513316385,0.8543737513316385,0.7594433345170123,0.7594433345170123,1773323229.9532967
1600,56,-998.8861263819085,37.50926776908736,-969.5647165926883,-950.0,28.0,-936.5112406957919,0.8509613791521793,0.8509613791521793,0.7564101148019374,0.7564101148019374,1773323229.9934103
1700,59,-1066.4662426066884,40.183258453521276,-1033.5151013812674,-2100.0,84.0,-2007.6016652165033,0.8484110470478988,0.8484110470478988,0.7541431529314658,0.7541431529314658,1773323230.0304837
1800,61,-1055.0857839525363,44.995390754302946,-1020.1387005114811,-465.0,34.0,-454.14560002956506,0.8467150733648501,0.8467150733648501,0.7526356207687559,0.7526356207687559,1773323230.0660994
1900,64,-1051.0416740163055,45.754173147970484,-1016.7778149990525,-720.0,30.0,-706.9315678296364,0.8441774674432605,0.8441774674432605,0.7503799710606763,0.7503799710606763,1773323230.1037967
2000,67,-1056.9187302597297,45.657234202741186,-1022.9950474817548,-1850.0,73.0,-1780.3642653467803,0.8416474667291557,0.8416474667291557,0.7481310815370276,0.7481310815370276,1773323230.1443696
2100,69,-1027.544154059406,44.61565386797391,-995.4715418235702,-495.0,15.0,-490.53835678803625,0.8399650134431641,0.8399650134431641,0.746635567505035,0.746635567505035,1773323230.2063274
2200,70,-1067.6669463564358,49.784871174575215,-1030.5673811770623,-1830.0,148.0,-1697.3883288934153,0.8391250484297209,0.8391250484297209,0.74588893193753,0.74588893193753,1773323230.2445402
2300,74,-1086.6826819757314,51.00523247713633,-1048.5049156551715,-845.0,25.0,-833.5910681479318,0.8357735796306315,0.8357735796306315,0.7429098485605617,0.7429098485605617,1773323230.2918313
2400,76,-1078.9811204830976,49.85972231061554,-1042.2483319065736,-635.0,30.0,-627.1375987578729,0.8341028682449498,0.8341028682449498,0.7414247717732892,0.7414247717732892,1773323230.3295815
2500,80,-1089.7937412654858,52.18935544526079,-1051.8933377195606,-1500.0,66.0,-1448.8045804959374,0.8307714580536021,0.8307714580536021,0.7384635182698691,0.7384635182698691,1773323230.3664477
2600,83,-1115.5956589174957,51.35684862488045,-1077.4133671174388,-550.0,11.0,-546.5381680273654,0.828281635163044,0.828281635163044,0.7362503423671508,0.7362503423671508,1773323230.4028318
2700,86,-1150.3957030643878,50.62782808975687,-1112.2388383018053,-800.0,22.0,-789.2839001928371,0.8257992742741788,0.8257992742741788,0.7340437993548261,0.7340437993548261,1773323230.4390752
2800,89,-1178.4267659148295,51.14903410845529,-1139.4440364617471,-2220.0,72.0,-2135.7349122003507,0.8233243530233798,0.8233243530233798,0.7318438693541158,0.7318438693541158,1773323230.476684
2900,92,-1191.1686484262268,50.58240311873685,-1152.8217580911075,-1095.0,39.0,-1068.8418299623108,0.8208568491140444,0.8208568491140444,0.7296505325458177,0.7296505325458177,1773323230.5139606
3000,95,-1174.436969944436,50.958212873926996,-1136.586847308672,-1955.0,111.0,-1870.057036252334,0.8183967403163929,0.8183967403163929,0.7274637691701273,0.7274637691701273,1773323230.5494044
3100,98,-1218.9297721061107,51.24954776278315,-1180.1807036524974,-1650.0,54.0,-1600.7615784684915,0.8159440044672679,0.8159440044672679,0.7252835595264607,0.7252835595264607,1773323230.5878716
3200,102,-1140.1509176915026,47.2916894624604,-1106.0452912867597,-695.0,22.0,-685.9468398128873,0.8126851208504656,0.8126851208504656,0.7223867740893031,0.7223867740893031,1773323230.633778
3300,106,-1053.8730484029643,43.22698289023313,-1024.2291592836905,-575.0,19.0,-568.3463301139724,0.809439253227861,0.809439253227861,0.7195015584247657,0.7195015584247657,1773323230.6698012
3400,109,-1016.7062798744912,44.35998445551362,-986.5894191970149,-450.0,18.0,-444.8103378146923,0.8070133629764978,0.8070133629764978,0.717345211534665,0.717345211534665,1773323230.707256
3500,113,-1041.5699006220223,43.28320333891869,-1011.2891232235967,-695.0,19.0,-687.3077674131235,0.8037901483775233,0.8037901483775233,0.7144801318911321,0.7144801318911321,1773323230.7470326
3600,117,-1115.253943868516,44.70348963957014,-1082.8556814062754,-1220.0,37.0,-1198.543376479086,0.8005798073105467,0.8005798073105467,0.7116264953871528,0.7116264953871528,1773323230.7888417
3700,123,-1034.0995040315447,40.3808227948117,-1006.1979498776486,-1420.0,50.0,-1379.390862998151,0.7957883211642008,0.7957883211642008,0.7073673965904009,0.7073673965904009,1773323230.8281908
3800,127,-1012.9819466555932,38.69594504651659,-985.3505379292206,-395.0,10.0,-392.59734649606247,0.7926099394271136,0.7926099394271136,0.7045421683796567,0.7045421683796567,1773323230.8727098
3900,132,-975.2786281662396,36.99600619804208,-949.6840151730928,-625.0,20.0,-617.1820416850194,0.7886548079072352,0.7886548079072352,0.7010264959175424,0.7010264959175424,1773323230.911742
4000,133,-1010.0146967579276,38.04620588813997,-983.2305330423152,-1670.0,58.0,-1620.6143725575405,0.787866153099328,0.787866153099328,0.7003254694216249,0.7003254694216249,1773323230.954273
4100,135,-1043.4132638240296,42.979200814046315,-1012.6634235288834,-1450.0,56.0,-1408.0369151700734,0.7862912086592824,0.7862912086592824,0.698925518808251,0.698925518808251,1773323231.021905
4200,137,-1143.4929706011867,47.60622873467679,-1106.0557210535114,-1970.0,88.0,-1876.9571647423372,0.7847194125331725,0.7847194125331725,0.6975283666961534,0.6975283666961534,1773323231.0611436
4300,140,-1173.5272856691922,47.588140361393506,-1135.9691485827577,-1250.0,43.0,-1223.2104612305595,0.7823676076690911,0.7823676076690911,0.6954378734836366,0.6954378734836366,1773323231.101862
4400,143,-1214.3148315506237,50.40138184234975,-1174.2803428176626,-800.0,25.0,-788.3570099049892,0.7800228511665391,0.7800228511665391,0.6933536454813684,0.6933536454813684,1773323231.139428
4500,145,-1213.4816354744378,49.55224711272065,-1173.873208712487,-1900.0,68.0,-1834.7303445934626,0.7784635854870573,0.7784635854870573,0.691967631544051,0.691967631544051,1773323231.1769273
4600,150,-1152.1964669114432,47.944897351112644,-1115.655829202186,-1170.0,51.0,-1136.746112698989,0.7745790444147325,0.7745790444147325,0.6885147061464292,0.6885147061464292,1773323231.225379
4700,154,-1059.2564422772884,45.810999798089696,-1026.9114835306764,-450.0,15.0,-445.59913775034204,0.7714853726137985,0.7714853726137985,0.6857647756567101,0.6857647756567101,1773323231.2653239
4800,156,-1123.7289391552526,49.239427317775956,-1087.4293645373918,-1835.0,99.0,-1747.7168539921122,0.7699431733539435,0.7699431733539435,0.6843939318701723,0.6843939318701723,1773323231.302417
4900,157,-1112.54249219749,48.57745595188715,-1077.1043185452277,-900.0,36.0,-880.9284446941069,0.7691732301805895,0.7691732301805895,0.6837095379383021,0.6837095379383021,1773323231.340455
5000,161,-1120.9249382854316,50.11885398191178,-1085.2987968690013,-550.0,14.0,-545.2980743021943,0.7661011492233244,0.7661011492233244,0.6809787993096221,0.6809787993096221,1773323231.3803523
5100,166,-1054.1979652386306,46.5380816330493,-1022.9127623100208,-895.0,29.0,-880.0610355732852,0.7622782968315182,0.7622782968315182,0.6775807082946833,0.6775807082946833,1773323231.4218614
5200,171,-979.9597117279397,42.068740435472414,-953.3291125118664,-820.0,23.0,-809.5381421889291,0.7584745205113566,0.7584745205113566,0.6741995737878729,0.6741995737878729,1773323231.4609685
5300,172,-1014.4617261415427,43.46530341369879,-986.274299733094,-1670.0,70.0,-1612.232856936422,0.7577160459908452,0.7577160459908452,0.673525374214085,0.673525374214085,1773323231.4976473
5400,175,-1008.9697474506052,45.00256451431999,-979.3872441519075,-450.0,9.0,-447.4077359165125,0.7554451702432946,0.7554451702432946,0.67150681799404,0.67150681799404,1773323231.5461352
5500,181,-902.7949922056438,41.90671745055501,-877.0909565124612,-385.0,25.0,-378.70778129844587,0.7509238158018122,0.7509238158018122,0.6674878362682779,0.6674878362682779,1773323231.5872126
5600,184,-929.8638564423137,43.60914687416959,-903.1219672689881,-335.0,27.0,-328.49218752651,0.7486732963749304,0.7486732963749304,0.6654873745554941,0.6654873745554941,1773323231.6259542
5700,188,-882.6612352213672,42.43974143617909,-858.0766133926201,-770.0,22.0,-761.340726492242,0.7456830922352643,0.7456830922352643,0.6628294153202354,0.6628294153202354,1773323231.663571
5800,189,-968.7781734602988,47.56775436437013,-937.700954139453,-2605.0,145.0,-2450.563428329278,0.7449374091430291,0.7449374091430291,0.6621665859049152,0.6621665859049152,1773323231.7019734
5900,191,-1039.9473015479196,50.98489831384404,-1004.7681363440963,-2220.0,125.0,-2100.744129742803,0.7434482792621522,0.7434482792621522,0.6608429148996913,0.6608429148996913,1773323231.7425485
6000,196,-971.969327629844,44.633129915628395,-942.4745321170699,-570.0,15.0,-564.9649041161588,0.7397384649178675,0.7397384649178675,0.6575453021492162,0.6575453021492162,1773323231.7803943
6100,197,-1025.3708612483517,50.15147341984697,-991.3715248338805,-2040.0,155.0,-1920.4143864532832,0.7389987264529497,0.7389987264529497,0.656887756847067,0.656887756847067,1773323231.8232253
6200,200,-1059.1704671628054,49.70311952334129,-1024.3137597319835,-335.0,18.0,-332.0442345280902,0.7367839465307715,0.7367839465307715,0.6549190635829087,0.6549190635829087,1773323231.8731709
6300,202,-1090.826346614432,50.622065369815516,-1055.4671311496381,-1245.0,45.0,-1214.277871195609,0.7353111154216565,0.7353111154216565,0.6536098803748065,0.6536098803748065,1773323231.9111662
6400,205,-1126.9503639285485,52.09709329644557,-1089.8688770017043,-1180.0,77.0,-1136.9480940086555,0.7331073872734266,0.7331073872734266,0.6516510109097133,0.6516510109097133,1773323231.948464
6500,208,-1132.121568273239,53.089370365040004,-1094.984762360015,-925.0,26.0,-911.849986649078,0.7309102637006608,0.7309102637006608,0.649698012178366,0.649698012178366,1773323231.9849977
6600,212,-1107.8305618683546,50.09256772088985,-1073.2868367209326,-1000.0,41.0,-975.9214874933324,0.7279910051845302,0.7279910051845302,0.6471031157195831,0.6471031157195831,1773323232.0261247
