global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,1,-182.5,7.7,-168.30788313063843,-3650.0,154.0,-3366.1576626127685,0.8991,0.8991,0.7992,0.7992,1773317969.852376
200,2,-349.625,15.265,-323.984005256587,-3525.0,159.0,-3281.8303256496097,0.8982009,0.8982009,0.7984008,0.7984008,1773317969.915485
300,3,-522.14375,21.90175,-484.3232555366757,-3800.0,148.0,-3530.7690108583606,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773317969.9783986
400,4,-674.5365625,28.256662499999997,-625.920758494477,-3570.0,149.0,-3316.2733146927026,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773317970.0406413
500,5,-728.059734375,30.593829374999995,-678.8140483753825,-1745.0,75.0,-1683.7865561125882,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773317970.106333
600,6,-874.1567476562499,36.76413790624999,-814.963462376218,-3650.0,154.0,-3401.802328392094,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773317970.1683974
700,7,-1011.6989102734374,42.67593101093749,-942.4822382259757,-3625.0,155.0,-3365.3389793713723,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773317970.2318602
800,8,-1149.8639647597656,47.992134460390616,-1070.110741946818,-3775.0,149.0,-3495.0523126428234,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773317970.292489
900,9,-1281.1207665217773,53.04252773737109,-1192.286150671005,-3775.0,149.0,-3513.618916430558,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773317970.354931
1000,10,-1412.0647281956883,57.59040135050253,-1315.1027984430668,-3900.0,144.0,-3648.619106112242,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773317970.4177523
1100,11,-1536.4614917859037,61.91088128297741,-1431.5010944488822,-3900.0,144.0,-3643.068718559376,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773317970.478867
1200,12,-1640.6384171966085,65.71533721882854,-1528.4599720714702,-3620.0,138.0,-3370.6786469006433,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773317970.5390134
1300,13,-1734.856496336778,70.3795703578871,-1615.154557776864,-3525.0,159.0,-3262.351686179351,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773317970.6027715
1400,14,-1836.863671519939,74.31059183999275,-1710.3744960661923,-3775.0,149.0,-3519.553323563428,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773317970.6629584
1500,15,-1926.270487943942,78.34506224799311,-1793.1888529439523,-3625.0,155.0,-3366.6616336213933,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773317970.7240238
1600,16,-2019.9569635467449,81.82780913559345,-1880.235000942155,-3800.0,148.0,-3534.11181290801,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773317970.7853227
1700,17,-2110.2091153694073,85.08641867881377,-1963.8683774861759,-3825.0,147.0,-3552.902531822572,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773317970.8465314
1800,18,-2192.198659600937,88.33209774487308,-2039.3078443819609,-3750.0,150.0,-3472.6577154018805,0.8839369683463054,0.8839369683463054,0.7857217496411605,0.7857217496411605,1773317970.916585
1900,19,-2237.33872662089,89.91549285762942,-2082.680552051655,-3095.0,120.0,-2906.761997775844,0.8830530313779591,0.8830530313779591,0.7849360278915193,0.7849360278915193,1773317970.9780207
2000,20,-2321.7217902898456,92.56971821474795,-2161.872049279823,-3925.0,143.0,-3666.510496615019,0.8821699783465812,0.8821699783465812,0.7841510918636277,0.7841510918636277,1773317971.0413198
2100,23,-2295.511219949756,91.22546215436954,-2142.4792439566727,-845.0,39.0,-828.0256966362608,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773317971.1181517
2200,24,-2370.7356589522683,94.06418904665107,-2211.68464485573,-3800.0,148.0,-3526.587261937818,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773317971.1995974
2300,25,-2443.4488760046547,96.7109795943185,-2279.1160353898026,-3825.0,147.0,-3560.3124555371905,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773317971.2610445
2400,26,-2506.276432204422,99.47543061460257,-2337.2026648807105,-3700.0,152.0,-3440.8486252079597,0.8768901733960046,0.8768901733960046,0.7794579319075597,0.7794579319075597,1773317971.3223698
2500,27,-2562.2126105942007,102.25165908387244,-2388.670821862363,-3625.0,155.0,-3366.565804513764,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773317971.3843913
2600,28,-2621.6019800644904,104.63907612967881,-2444.055537873599,-3750.0,150.0,-3496.3651420870788,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773317971.4454234
2700,29,-2666.7718810612655,107.35712232319487,-2485.0892871610013,-3525.0,159.0,-3264.730523621647,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773317971.5062325
2800,30,-2613.433287008202,105.03926620703513,-2438.2970615614468,-1600.0,61.0,-1549.2447751699049,0.8733878705367771,0.8733878705367771,0.7763447738104686,0.7763447738104686,1773317971.5682015
2900,31,-2670.261622657792,107.28730289668337,-2490.5969466967517,-3750.0,150.0,-3484.2947642675554,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773317971.6316726
3000,32,-2715.4985415249025,109.7729377518492,-2531.2842466351003,-3575.0,157.0,-3304.342945463719,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773317971.6936455
3100,33,-2779.7236144486574,111.28429086425673,-2591.054369512191,-4000.0,140.0,-3726.686704176916,0.8707703262153905,0.8707703262153905,0.7740180677470138,0.7740180677470138,1773317971.7540324
3200,35,-2810.825562039913,113.19907250499169,-2620.727232548551,-2575.0,109.0,-2431.2473119992624,0.8690296563332859,0.8690296563332859,0.7724708056295875,0.7724708056295875,1773317971.817458
3300,36,-2850.2842839379173,115.3391188797421,-2655.8664628338556,-3600.0,156.0,-3323.511838254644,0.8681606266769526,0.8681606266769526,0.7716983348239579,0.7716983348239579,1773317971.8781624
3400,37,-2894.0200697410214,117.12216293575499,-2696.4889542667142,-3725.0,151.0,-3468.3162914910245,0.8672924660502757,0.8672924660502757,0.770926636489134,0.770926636489134,1773317971.941833
3500,38,-2934.31906625397,118.86605478896722,-2733.5077152108656,-3700.0,152.0,-3436.864173149743,0.8664251735842253,0.8664251735842253,0.7701557098526448,0.7701557098526448,1773317972.0033007
3600,39,-2960.1031129412713,121.02275204951884,-2757.106222078164,-3450.0,162.0,-3205.4778525568395,0.8655587484106411,0.8655587484106411,0.7693855541427922,0.7693855541427922,1773317972.0639465
3700,40,-2993.347957294208,122.7216144470429,-2787.423298271388,-3625.0,155.0,-3363.4477459426416,0.8646931896622304,0.8646931896622304,0.7686161685886495,0.7686161685886495,1773317972.1267798
3800,41,-3032.4305594294974,124.03553372469075,-2823.6211229456317,-3775.0,149.0,-3511.37979175626,0.8638284964725682,0.8638284964725682,0.7678475524200608,0.7678475524200608,1773317972.1905217
3900,42,-3062.059031458022,125.58375703845621,-2850.4408945334517,-3625.0,155.0,-3360.0165547020356,0.8629646679760956,0.8629646679760956,0.7670797048676407,0.7670797048676407,1773317972.2532969
4000,43,-3098.956079885121,126.7045691865334,-2884.438978547424,-3800.0,148.0,-3530.4025748129056,0.8621017033081195,0.8621017033081195,0.766312625162773,0.766312625162773,1773317972.3171952
4100,44,-3131.508275890865,127.86934072720673,-2913.816257070174,-3750.0,150.0,-3471.9845490024195,0.8612396016048114,0.8612396016048114,0.7655463125376102,0.7655463125376102,1773317972.4416683
4200,45,-3163.682862096322,128.92587369084637,-2942.967326681856,-3775.0,149.0,-3496.837649303815,0.8603783620032066,0.8603783620032066,0.7647807662250726,0.7647807662250726,1773317972.5040095
4300,46,-3190.498718991506,130.07958000630404,-2966.8386036884613,-3700.0,152.0,-3420.3928668139647,0.8595179836412034,0.8595179836412034,0.7640159854588475,0.7640159854588475,1773317972.5668073
4400,47,-3174.4737830419303,129.42560100598882,-2953.473003388007,-2870.0,117.0,-2699.5265976793817,0.8586584656575621,0.8586584656575621,0.7632519694733887,0.7632519694733887,1773317972.6315315
4500,49,-3088.087589195342,126.0716049079049,-2874.946827879478,-995.0,39.0,-976.8835187978056,0.8569420073847126,0.8569420073847126,0.7617262287864114,0.7617262287864114,1773317972.7138114
4600,50,-2977.4332097355746,121.26802466250965,-2774.3058005938165,-875.0,30.0,-862.126282166254,0.8560850653773279,0.8560850653773279,0.7609645025576249,0.7609645025576249,1773317972.7791295
4700,51,-3014.811549248796,122.75462342938415,-2809.191323722986,-3725.0,151.0,-3472.01626317721,0.8552289803119505,0.8552289803119505,0.7602035380550674,0.7602035380550674,1773317972.844737
4800,52,-3060.320971786356,123.76689225791495,-2851.9243565226348,-3925.0,143.0,-3663.8519797159624,0.8543737513316385,0.8543737513316385,0.7594433345170123,0.7594433345170123,1773317972.9069018
4900,53,-3106.054923197038,124.6285476450192,-2895.3102502709203,-3975.0,141.0,-3719.642231488354,0.8535193775803068,0.8535193775803068,0.7586838911824952,0.7586838911824952,1773317972.9708402
5000,54,-3134.502177037186,125.09712026276823,-2922.1148963802643,-3675.0,134.0,-3431.403172457808,0.8526658582027266,0.8526658582027266,0.7579252072913127,0.7579252072913127,1773317973.0323162
5100,55,-3162.7770681853262,126.4422642496298,-2948.228488388874,-3700.0,152.0,-3444.3867365524593,0.8518131923445238,0.8518131923445238,0.7571672820840214,0.7571672820840214,1773317973.0934923
5200,56,-3193.3882147760596,127.5701510371483,-2975.8826528239947,-3775.0,149.0,-3501.3117770912872,0.8509613791521793,0.8509613791521793,0.7564101148019374,0.7564101148019374,1773317973.1563053
5300,57,-3221.2188040372566,128.69164348529088,-3001.9182227668903,-3750.0,150.0,-3496.5940516819082,0.8501104177730271,0.8501104177730271,0.7556537046871354,0.7556537046871354,1773317973.2188692
5400,58,-3246.4078638353935,129.80706131102633,-3023.973665249465,-3725.0,151.0,-3443.027072418385,0.849260307355254,0.849260307355254,0.7548980509824483,0.7548980509824483,1773317973.2800558
5500,59,-3272.837470643624,130.766708245475,-3047.790030348557,-3775.0,149.0,-3500.300967231316,0.8484110470478988,0.8484110470478988,0.7541431529314658,0.7541431529314658,1773317973.3422267
5600,60,-3295.4455971114426,131.77837283320125,-3068.083246581381,-3725.0,151.0,-3453.6543550050387,0.8475626360008509,0.8475626360008509,0.7533890097785344,0.7533890097785344,1773317973.4049118
5700,61,-3318.17331725587,132.6894541915412,-3088.862920661788,-3750.0,150.0,-3483.676728189518,0.8467150733648501,0.8467150733648501,0.7526356207687559,0.7526356207687559,1773317973.466468
5800,62,-3342.2646513930767,133.45498148196413,-3110.6271118964446,-3800.0,148.0,-3524.1467453549317,0.8458683582914852,0.8458683582914852,0.7518829851479871,0.7518829851479871,1773317973.527338
5900,63,-3360.151418823423,134.38223240786593,-3126.6236547052454,-3700.0,152.0,-3430.557968072461,0.8450224899331937,0.8450224899331937,0.7511311021628392,0.7511311021628392,1773317973.5893676
6000,64,-3378.3938478822515,135.21312078747263,-3143.395515728107,-3725.0,151.0,-3462.060875162478,0.8441774674432605,0.8441774674432605,0.7503799710606763,0.7503799710606763,1773317973.651031
6100,65,-3394.474155488139,136.052464748099,-3157.1787129425056,-3700.0,152.0,-3419.059460016083,0.8433332899758172,0.8433332899758172,0.7496295910896157,0.7496295910896157,1773317973.7726572
6200,67,-3280.825425328045,131.23984943515933,-3054.658920260843,-1045.0,37.0,-1027.6330959878978,0.8416474667291557,0.8416474667291557,0.7481310815370276,0.7481310815370276,1773317973.8373187
6300,68,-3305.5341540616428,132.12785696340134,-3077.735190606437,-3775.0,149.0,-3516.184327172721,0.8408058192624265,0.8408058192624265,0.7473829504554905,0.7473829504554905,1773317973.899863
6400,70,-3156.9445740406322,125.68039090946971,-2943.5045938755366,-700.0,28.0,-688.5411416716731,0.8391250484297209,0.8391250484297209,0.74588893193753,0.74588893193753,1773317973.9639385
6500,72,-3146.39247807167,125.78655279579641,-2934.248569503956,-2525.0,99.0,-2397.5548785222654,0.8374476374579098,0.8374476374579098,0.744397899962587,0.744397899962587,1773317974.02877
6600,73,-3181.5728541680865,126.79722515600658,-2967.829334756549,-3850.0,146.0,-3605.863874555828,0.836610189820452,0.836610189820452,0.7436535020626244,0.7436535020626244,1773317974.0907795
6700,76,-2922.162900842363,116.15702091813111,-2733.0586218521435,-695.0,27.0,-684.7423557704833,0.8341028682449498,0.8341028682449498,0.7414247717732892,0.7414247717732892,1773317974.183695
6800,77,-2953.5547558002445,118.24916987222456,-2761.546378890563,-3550.0,158.0,-3302.813762620536,0.8332687653767049,0.8332687653767049,0.740683347001516,0.740683347001516,1773317974.2484403
6900,78,-2993.377018010232,119.83671137861332,-2798.3778630457864,-3750.0,150.0,-3498.176061995028,0.8324354966113282,0.8324354966113282,0.7399426636545144,0.7399426636545144,1773317974.312916
