global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,2,-157.7625,5.1375,-152.3633225429602,-2495.0,79.0,-2396.419615515432,0.8982009,0.8982009,0.7984008,0.7984008,1773321228.4002438
200,6,-340.750886015625,12.954875859375,-329.3994609428391,-1295.0,49.0,-1262.607456280749,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773321228.4164503
300,8,-418.3526746291015,15.654275463085938,-405.23228028618627,-1675.0,65.0,-1622.197688538836,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773321228.4318306
400,11,-628.6413744101259,24.770459425163306,-605.3560704118559,-1345.0,47.0,-1310.5511649686566,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773321228.4458103
500,14,-683.7651483848816,27.303697649649386,-660.1037036325238,-1075.0,41.0,-1049.1598212615982,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773321228.4613347
600,17,-748.0112690964878,30.700632772368138,-722.8753925433015,-720.0,56.0,-698.1725903905676,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773321228.476433
700,20,-791.2542868416011,31.163455023209128,-766.8353056262055,-1000.0,29.0,-984.5362306396327,0.8821699783465812,0.8821699783465812,0.7841510918636277,0.7841510918636277,1773321228.4918776
800,25,-830.4564307481879,34.40555525609783,-806.0123506492108,-595.0,23.0,-586.5494367837508,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773321228.5113437
900,27,-915.6119287502396,39.34851361862829,-884.4458618519959,-2610.0,146.0,-2436.519219140397,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773321228.5260892
1000,30,-918.3040274122366,40.561431863771425,-888.2359227314703,-1110.0,70.0,-1071.9442211269659,0.8733878705367771,0.8733878705367771,0.7763447738104686,0.7763447738104686,1773321228.5404375
1100,35,-856.104698116066,38.40923433639142,-830.2885332032919,-765.0,44.0,-749.5006526174261,0.8690296563332859,0.8690296563332859,0.7724708056295875,0.7724708056295875,1773321228.5554874
