global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,1,-190.0,7.4,-176.61006914354186,-3800.0,148.0,-3532.2013828708373,0.8991,0.8991,0.7992,0.7992,1773314649.8893938
200,2,-371.75,14.38,-346.49284311549,-3825.0,147.0,-3574.2655485825053,0.8982009,0.8982009,0.7984008,0.7984008,1773314649.905497
300,3,-553.1624999999999,20.661,-516.445728182799,-4000.0,140.0,-3745.550544461672,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773314649.9213898
400,4,-576.7543749999999,21.127950000000002,-541.0655136082291,-1025.0,30.0,-1008.8414366914019,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773314649.9382317
500,5,-736.6666562499998,27.5215525,-689.7178114419607,-3775.0,149.0,-3514.1114702828622,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773314649.9543984
600,6,-876.0833234374999,34.095474875,-818.6946785945019,-3525.0,159.0,-3269.255154492782,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773314649.9680417
700,7,-1028.5291572656247,39.540701131249996,-960.3917886651552,-3925.0,143.0,-3652.63688000757,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773314649.983229
800,8,-1172.1026994023434,44.7636660746875,-1094.103674306958,-3900.0,144.0,-3634.6295015012115,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773314649.9989536
900,9,-1300.9975644322262,50.025482770953126,-1213.4418347166384,-3750.0,150.0,-3480.8668825005648,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773314650.0134914
1000,10,-1404.6976862106148,55.77420863240547,-1308.8904848285283,-3375.0,165.0,-3122.4148369544423,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773314650.0284703
1100,11,-1525.712801900084,60.335498200785196,-1421.9999897996595,-3825.0,147.0,-3571.0805842511527,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773314650.043105
1200,12,-1640.6771618050798,64.66872329074593,-1529.081277455309,-3825.0,147.0,-3563.625742912649,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773314650.05895
1300,13,-1753.6433037148256,68.63528712620862,-1635.0344346718298,-3900.0,144.0,-3648.144421785726,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773314650.073002
1400,14,-1839.7111385290843,73.25352276989818,-1712.839066144312,-3475.0,161.0,-3191.1270641214733,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773314650.0880094
1500,15,-1936.47558160263,77.04084663140327,-1803.2288053008263,-3775.0,149.0,-3520.633849274599,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773314650.1025991
1600,16,-1983.4018025224984,79.38880429983311,-1848.7794458582105,-2875.0,124.0,-2714.2416164485116,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773314650.1174893
1700,17,-2074.2317123963735,82.81936408484145,-1932.9045187737559,-3800.0,148.0,-3531.280904169122,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773314650.1308947
1800,19,-2145.619120437727,85.79947608656941,-2002.375970743091,-2100.0,71.0,-2024.5028200107115,0.8830530313779591,0.8830530313779591,0.7849360278915193,0.7849360278915193,1773314650.1456773
1900,21,-2144.9212561950485,86.1265271681289,-2006.0830538866055,-1795.0,76.0,-1727.3680013493931,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773314650.1611881
2000,22,-2223.9251933852956,89.37020080972245,-2078.35238349861,-3725.0,151.0,-3451.4696461266985,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773314650.1770992
2100,24,-2224.029987030229,90.31910623077451,-2079.3500270027907,-895.0,46.0,-875.101675619078,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773314650.2091439
2200,25,-2196.3284876787175,89.40315091923577,-2055.9914697526374,-1670.0,72.0,-1612.1788819997219,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773314650.2249384
2300,26,-2271.5120632947815,92.53299337327397,-2124.418050129656,-3700.0,152.0,-3424.5230772930095,0.8768901733960046,0.8768901733960046,0.7794579319075597,0.7794579319075597,1773314650.240115
2400,28,-2291.85213712354,93.82852651937975,-2144.557479620979,-1345.0,61.0,-1302.286032892743,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773314650.2554877
2500,29,-2257.259530267363,93.23710019341075,-2114.294539603035,-1600.0,82.0,-1539.2986792620986,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773314650.2716866
2600,30,-2318.146553753995,96.6252451837402,-2169.2070290689503,-3475.0,161.0,-3212.544328921345,0.8733878705367771,0.8733878705367771,0.7763447738104686,0.7763447738104686,1773314650.2875326
2700,31,-2383.489226066295,99.54398292455319,-2228.5228902125477,-3625.0,155.0,-3355.524251940893,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773314650.3028638
2800,32,-2434.0647647629803,101.16678377832552,-2275.6622452628403,-3395.0,132.0,-3171.3099912184034,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773314650.31889
2900,34,-2478.6184501985895,102.86802235993878,-2318.7199357427885,-2170.0,85.0,-2079.966900659481,0.8698995558891751,0.8698995558891751,0.7732440496792667,0.7732440496792667,1773314650.3346448
3000,35,-2451.93752768866,101.37462124194184,-2296.9669018081013,-1945.0,73.0,-1883.6592570490443,0.8690296563332859,0.8690296563332859,0.7724708056295875,0.7724708056295875,1773314650.3499277
3100,37,-2457.8111187390155,100.18309567085251,-2304.685379612683,-1170.0,38.0,-1146.6007053984158,0.8672924660502757,0.8672924660502757,0.770926636489134,0.770926636489134,1773314650.3649876
3200,38,-2508.6705628020645,103.22394088730988,-2350.3895156618123,-3475.0,161.0,-3218.7681005952727,0.8664251735842253,0.8664251735842253,0.7701557098526448,0.7701557098526448,1773314650.3801641
3300,39,-2576.9870346619614,105.31274384294439,-2412.8291627320245,-3875.0,145.0,-3599.182457066061,0.8655587484106411,0.8655587484106411,0.7693855541427922,0.7693855541427922,1773314650.3959007
3400,41,-2528.10579878242,103.69975131825731,-2366.729634402987,-675.0,23.0,-666.6893021575662,0.8638284964725682,0.8638284964725682,0.7678475524200608,0.7678475524200608,1773314650.4120793
3500,43,-2520.1154834011336,103.7990255647272,-2360.0578393895626,-1350.0,56.0,-1313.1201774147025,0.8621017033081195,0.8621017033081195,0.766312625162773,0.766312625162773,1773314650.4273436
3600,44,-2571.609709231077,106.50907428649084,-2405.9354285395534,-3550.0,158.0,-3277.6096223893805,0.8612396016048114,0.8612396016048114,0.7655463125376102,0.7655463125376102,1773314650.4420936
3700,45,-2616.779223769523,109.23362057216629,-2446.5720097587687,-3475.0,161.0,-3218.6670529238568,0.8603783620032066,0.8603783620032066,0.7647807662250726,0.7647807662250726,1773314650.4586282
3800,46,-2684.6902625810467,110.82193954355796,-2509.532879217312,-3975.0,141.0,-3705.7893989296367,0.8595179836412034,0.8595179836412034,0.7640159854588475,0.7640159854588475,1773314650.4750147
3900,47,-2740.455749451994,112.68084256638006,-2560.7350641226994,-3800.0,148.0,-3533.5765773250637,0.8586584656575621,0.8586584656575621,0.7632519694733887,0.7632519694733887,1773314650.4890997
4000,48,-2790.9329619793943,114.54680043806106,-2607.4071496459997,-3750.0,150.0,-3494.1767745887073,0.8577998071919045,0.8577998071919045,0.7624887175039153,0.7624887175039153,1773314650.5046587
4100,49,-2830.1363138804245,116.66946041615799,-2642.5529275045988,-3575.0,157.0,-3310.3227068179885,0.8569420073847126,0.8569420073847126,0.7617262287864114,0.7617262287864114,1773314650.537443
4200,50,-2873.629498186403,118.43598739535008,-2682.8773208772877,-3700.0,152.0,-3449.0407949583814,0.8560850653773279,0.8560850653773279,0.7609645025576249,0.7609645025576249,1773314650.5533404
4300,51,-2907.448023277083,120.41418802558258,-2712.5856908824358,-3550.0,158.0,-3277.044720980245,0.8552289803119505,0.8552289803119505,0.7602035380550674,0.7602035380550674,1773314650.5701218
4400,53,-2718.6718410075673,112.29130469308826,-2540.9394478604327,-1020.0,41.0,-998.5381106734301,0.8535193775803068,0.8535193775803068,0.7586838911824952,0.7586838911824952,1773314650.5846162
4500,54,-2738.9882489571887,113.42673945843384,-2560.2379934909823,-3125.0,135.0,-2926.910360471428,0.8526658582027266,0.8526658582027266,0.7579252072913127,0.7579252072913127,1773314650.60036
4600,55,-2778.288836509329,115.70540248551215,-2596.429663479851,-3525.0,159.0,-3284.0713932683598,0.8518131923445238,0.8518131923445238,0.7571672820840214,0.7571672820840214,1773314650.6163223
4700,56,-2826.8743946838626,117.42013236123654,-2640.806595811228,-3750.0,150.0,-3483.968310107393,0.8509613791521793,0.8509613791521793,0.7564101148019374,0.7564101148019374,1773314650.63171
4800,57,-2868.0306749496694,119.24912574317472,-2678.4366667517083,-3650.0,154.0,-3393.4080146208394,0.8501104177730271,0.8501104177730271,0.7556537046871354,0.7556537046871354,1773314650.6466465
4900,58,-2917.129141202186,120.58666945601597,-2723.920259658608,-3850.0,146.0,-3588.108524889702,0.849260307355254,0.849260307355254,0.7548980509824483,0.7548980509824483,1773314650.6619673
5000,60,-2873.709049934973,119.77946918405439,-2684.0772981742257,-1495.0,67.0,-1444.8069141911744,0.8475626360008509,0.8475626360008509,0.7533890097785344,0.7533890097785344,1773314650.6775465
5100,61,-2907.523597438224,121.69049572485167,-2713.964484755832,-3550.0,158.0,-3281.821029806352,0.8467150733648501,0.8467150733648501,0.7526356207687559,0.7526356207687559,1773314650.6931794
5200,62,-2945.8974175663125,123.2559709386091,-2749.9366952735213,-3675.0,153.0,-3433.4086951096197,0.8458683582914852,0.8458683582914852,0.7518829851479871,0.7518829851479871,1773314650.708969
5300,63,-2983.602546687997,124.69317239167863,-2784.5046317313872,-3700.0,152.0,-3441.295424430845,0.8450224899331937,0.8450224899331937,0.7511311021628392,0.7511311021628392,1773314650.7230313
5400,64,-2908.172419353597,121.1585137720947,-2717.128302458774,-1475.0,54.0,-1436.978046279129,0.8441774674432605,0.8441774674432605,0.7503799710606763,0.7503799710606763,1773314650.7384472
5500,65,-2950.263798385917,122.60058808348995,-2755.401692980716,-3750.0,150.0,-3482.596112897607,0.8433332899758172,0.8433332899758172,0.7496295910896157,0.7496295910896157,1773314650.7531986
5600,66,-2981.500608466621,124.32055867931544,-2782.851408067037,-3575.0,157.0,-3304.3959947071444,0.8424899566858415,0.8424899566858415,0.7488799614985261,0.7488799614985261,1773314650.7692077
5700,67,-3018.67557804329,125.65453074534966,-2817.368123239923,-3725.0,151.0,-3473.18571152476,0.8416474667291557,0.8416474667291557,0.7481310815370276,0.7481310815370276,1773314650.7845511
5800,68,-3045.2417991411253,127.27180420808217,-2841.467018958525,-3550.0,158.0,-3299.3460376119606,0.8408058192624265,0.8408058192624265,0.7473829504554905,0.7473829504554905,1773314650.8004794
5900,69,-3072.9797091840687,128.70821399767806,-2865.762632350636,-3600.0,156.0,-3327.379286800752,0.8399650134431641,0.8399650134431641,0.746635567505035,0.746635567505035,1773314650.8168995
