global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,2,-123.9875,5.73,-120.4360027852305,-1525.0,50.0,-1485.074950753497,0.8982009,0.8982009,0.7984008,0.7984008,1773321275.2073412
200,5,-205.35878281249998,12.148883749999998,-198.93081463878642,-615.0,53.0,-594.0280107588371,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773321275.2548192
300,8,-361.5507364138671,17.57914920515625,-350.42546897878094,-1850.0,76.0,-1776.185871436516,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773321275.3016899
400,11,-473.7764376328393,23.06779804977084,-459.11964876616645,-1425.0,51.0,-1384.7409901731494,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773321275.3477898
500,14,-581.0071982154556,26.90050335292227,-563.0393249378343,-595.0,20.0,-587.9891496788023,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773321275.394378
600,15,-669.2068383046827,30.10547818527616,-646.6657927259915,-2345.0,91.0,-2235.56868070098,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773321275.4420104
700,17,-808.9716715699761,35.53519406221174,-778.8959606122041,-1350.0,59.0,-1314.4590941325062,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773321275.4897873
800,19,-880.8344335919033,41.95051264114609,-846.0990796545589,-1965.0,133.0,-1848.1030570077412,0.8830530313779591,0.8830530313779591,0.7849360278915193,0.7849360278915193,1773321275.5350015
900,21,-853.5905763166927,39.575337658634346,-821.6182706485922,-750.0,21.0,-740.9211459802806,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773321275.5840244
1000,24,-975.0509703695242,45.45353012507162,-937.2200805936861,-2025.0,69.0,-1954.1813859927809,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773321275.6364157
1100,27,-979.9774507205706,45.92159539098328,-941.8155919954311,-640.0,51.0,-620.173519785759,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773321275.6834316
1200,29,-1043.4171492753148,49.994239840362404,-1001.5984164233428,-2415.0,133.0,-2280.6585373245107,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773321275.7291286
1300,33,-1026.6261956919266,48.15400831397417,-987.9250787836215,-570.0,18.0,-563.7447558177612,0.8707703262153905,0.8707703262153905,0.7740180677470138,0.7740180677470138,1773321275.775131
1400,35,-987.9676416119637,45.561492503361684,-952.2992802062493,-825.0,24.0,-814.336097848892,0.8690296563332859,0.8690296563332859,0.7724708056295875,0.7724708056295875,1773321275.8216062
1500,39,-1102.425662640704,48.60267665331624,-1060.0497443452505,-750.0,27.0,-738.5378155740688,0.8655587484106411,0.8655587484106411,0.7693855541427922,0.7693855541427922,1773321275.8684893
1600,41,-1096.7641605332356,48.38641567961789,-1055.739480136126,-1400.0,61.0,-1353.9581179826257,0.8638284964725682,0.8638284964725682,0.7678475524200608,0.7678475524200608,1773321275.9139655
1700,44,-1115.563797137183,51.88117814331238,-1073.4530452677902,-745.0,23.0,-734.8872701877017,0.8612396016048114,0.8612396016048114,0.7655463125376102,0.7655463125376102,1773321275.9601731
1800,48,-1056.2783725419677,48.87487510509133,-1019.0672650227634,-1210.0,55.0,-1178.9399515541043,0.8577998071919045,0.8577998071919045,0.7624887175039153,0.7624887175039153,1773321276.0065038
1900,49,-1049.7144539148692,48.73113134983676,-1013.347476604373,-925.0,46.0,-904.671496654956,0.8569420073847126,0.8569420073847126,0.7617262287864114,0.7617262287864114,1773321276.057742
2000,52,-1013.0020549252606,50.101728741066296,-976.7689842995677,-290.0,29.0,-282.1205007048557,0.8543737513316385,0.8543737513316385,0.7594433345170123,0.7594433345170123,1773321276.1037753
2100,54,-1052.0468545700478,53.84931018881233,-1013.6002620772463,-975.0,33.0,-959.0033390388314,0.8526658582027266,0.8526658582027266,0.7579252072913127,0.7579252072913127,1773321276.1592336
2200,57,-1079.2361719369947,55.943677323132974,-1039.8211927032403,-785.0,69.0,-753.6205721539058,0.8501104177730271,0.8501104177730271,0.7556537046871354,0.7556537046871354,1773321276.2063766
2300,61,-1035.3160135187568,52.596837327675075,-999.4279998369984,-565.0,39.0,-553.826751262964,0.8467150733648501,0.8467150733648501,0.7526356207687559,0.7526356207687559,1773321276.2539153
2400,63,-1046.2227022006778,53.25364568822675,-1010.64860330943,-1325.0,72.0,-1279.6875277717472,0.8450224899331937,0.8450224899331937,0.7511311021628392,0.7511311021628392,1773321276.3032246
2500,67,-1003.5840235843408,51.160083498346225,-971.0808287926054,-425.0,38.0,-414.08441044205597,0.8416474667291557,0.8416474667291557,0.7481310815370276,0.7481310815370276,1773321276.3497381
2600,70,-1030.235352220624,50.71562658939458,-998.0258938747514,-1225.0,41.0,-1196.2614326992539,0.8391250484297209,0.8391250484297209,0.74588893193753,0.74588893193753,1773321276.397113
2700,72,-1095.9749053791131,53.6933529969286,-1059.6913765295808,-2255.0,110.0,-2141.564075424481,0.8374476374579098,0.8374476374579098,0.744397899962587,0.744397899962587,1773321276.4439478
2800,74,-1058.5798521046495,53.77075107972806,-1023.4796076688076,-1090.0,73.0,-1052.2722240554422,0.8357735796306315,0.8357735796306315,0.7429098485605617,0.7429098485605617,1773321276.4972048
2900,77,-1095.5374006982238,53.409572706981834,-1059.7456392017123,-695.0,19.0,-687.4581104688209,0.8332687653767049,0.8332687653767049,0.740683347001516,0.740683347001516,1773321276.5436916
3000,79,-1124.7350041301468,57.4596393680511,-1086.5459725176177,-1490.0,93.0,-1428.0191409688628,0.8316030611147168,0.8316030611147168,0.7392027209908599,0.7392027209908599,1773321276.5900466
3100,83,-1040.0747529577802,53.42599788802366,-1006.201459135361,-985.0,66.0,-952.1749940677446,0.828281635163044,0.828281635163044,0.7362503423671508,0.7362503423671508,1773321276.635486
3200,86,-1004.0097163171768,50.86273993924428,-972.637055829995,-1025.0,40.0,-1002.9800628203398,0.8257992742741788,0.8257992742741788,0.7340437993548261,0.7340437993548261,1773321276.68392
3300,89,-991.3128305274392,51.500066655409555,-960.4301362813768,-995.0,34.0,-974.5346212086934,0.8233243530233798,0.8233243530233798,0.7318438693541158,0.7318438693541158,1773321276.7331939
3400,90,-1001.4971890010672,51.97506332263907,-970.2696081170491,-1195.0,61.0,-1157.2195729948219,0.8225010286703565,0.8225010286703565,0.7311120254847617,0.7311120254847617,1773321276.7822535
3500,95,-1083.05446505886,52.43019322441351,-1043.548956890626,-2145.0,78.0,-2060.3181645642385,0.8183967403163929,0.8183967403163929,0.7274637691701273,0.7274637691701273,1773321276.830144
3600,97,-1078.381654715621,54.568249385033184,-1038.5564880374536,-375.0,12.0,-372.187713820054,0.8167607652325004,0.8167607652325004,0.7260095690955563,0.7260095690955563,1773321276.8765848
3700,101,-1046.2971601512152,51.20958642566818,-1008.3092293080385,-355.0,19.0,-351.49022248944317,0.8134986194699355,0.8134986194699355,0.7231098839732764,0.7231098839732764,1773321276.9297044
3800,104,-1048.7840276846478,51.061569161707254,-1012.1458186718085,-950.0,37.0,-930.9261887365968,0.8110605632938855,0.8110605632938855,0.7209427229278985,0.7209427229278985,1773321276.975424
3900,106,-1003.5650849853944,50.01806616844079,-969.1453621336326,-585.0,35.0,-574.6878079743196,0.809439253227861,0.809439253227861,0.7195015584247657,0.7195015584247657,1773321277.0218737
4000,110,-1065.6122215023845,50.87194000710857,-1024.7868631596334,-450.0,26.0,-444.7874114404134,0.8062063496135213,0.8062063496135213,0.7166278663231304,0.7166278663231304,1773321277.067261
4100,115,-941.4790268905726,45.01322305614421,-907.9811627684106,-445.0,25.0,-438.8951481305642,0.8021833718709166,0.8021833718709166,0.7130518861074817,0.7130518861074817,1773321277.1251073
