global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,1,-193.75,7.25,-179.72449127963299,-3875.0,145.0,-3594.4898255926596,0.8991,0.8991,0.7992,0.7992,1773313227.8809216
200,2,-369.0625,14.4875,-342.0810352983714,-3700.0,152.0,-3426.8553716544016,0.8982009,0.8982009,0.7984008,0.7984008,1773313227.965378
300,3,-492.859375,19.663125,-459.6710988710123,-2845.0,118.0,-2693.882306751191,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773313228.0537283
400,4,-651.96640625,26.32996875,-607.3545472040493,-3675.0,153.0,-3413.3400655317514,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773313228.1389124
500,5,-805.6180859374999,32.5634703125,-749.8678002194938,-3725.0,151.0,-3457.6196075129405,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773313228.2213225
600,8,-893.2818064306638,36.38110535917968,-839.4449093431888,-1245.0,56.0,-1209.9435268137943,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773313228.3104753
700,9,-1039.8677161091305,41.91205009122069,-974.645862248588,-3825.0,147.0,-3543.4639674511723,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773313228.3940227
800,10,-1167.874330303674,47.61644758665966,-1092.3088768115394,-3600.0,156.0,-3327.906153507622,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773313228.4795911
900,11,-1248.2306137884902,50.73562520732668,-1169.2725044461672,-2775.0,110.0,-2631.581429504097,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773313228.5637608
1000,12,-1368.3190830990657,55.89884394696034,-1279.5243774731453,-3650.0,154.0,-3374.3099649857263,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773313228.6486201
1100,13,-1478.6531289441123,60.95390174961232,-1381.4547486064002,-3575.0,157.0,-3318.131800138242,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773313228.7414088
1200,14,-1594.7204724969065,65.3062066621317,-1488.2634831415423,-3800.0,148.0,-3517.6294393092444,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773313228.8291554
1300,15,-1693.7344488720612,69.89089632902511,-1579.5980017659813,-3575.0,157.0,-3314.9538556303264,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773313228.9171972
1400,16,-1790.297726428458,74.14635151257386,-1668.2808495547533,-3625.0,155.0,-3353.2549575414255,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773313229.0054345
1500,17,-1878.282840107035,78.33903393694517,-1749.303872675815,-3550.0,158.0,-3288.7413119759867,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773313229.0927374
1600,18,-1899.3686981016833,79.9720822400979,-1770.991986635312,-2300.0,111.0,-2183.066151865761,0.8839369683463054,0.8839369683463054,0.7857217496411605,0.7857217496411605,1773313229.1805851
1700,20,-2007.6177500367692,84.77730422168835,-1873.2158739119172,-2520.0,101.0,-2387.8983468468964,0.8821699783465812,0.8821699783465812,0.7841510918636277,0.7841510918636277,1773313229.2659278
1800,21,-2084.736862534931,88.43843901060394,-1943.4572185701984,-3550.0,158.0,-3278.042767077542,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773313229.3498461
1900,22,-2164.250019408184,91.66651706007374,-2017.2943306990403,-3675.0,153.0,-3420.199461147041,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773313229.434384
2000,23,-2238.537518437775,94.78319120707006,-2085.7471859742222,-3650.0,154.0,-3386.351436202677,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773313229.519978
2100,24,-2191.610642515886,92.94403164671655,-2044.619740564046,-1300.0,58.0,-1263.1982777706999,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773313229.6777751
2200,25,-2273.2801103900915,95.64683006438072,-2120.8098554749713,-3825.0,147.0,-3568.422038782552,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773313229.7640924
2300,27,-2261.010299627057,94.6362641331036,-2110.7789943263956,-720.0,20.0,-712.0906376286806,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773313229.8624816
2400,29,-2211.1867954134186,92.64422838012598,-2068.7028813053325,-1370.0,63.0,-1327.2077555481687,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773313229.9494996
2500,31,-2209.53358286061,93.4539161130637,-2066.9310658567647,-1025.0,42.0,-1002.2776149273618,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773313230.0374956
2600,32,-2282.806903717579,96.43122030741051,-2134.1112879509883,-3675.0,153.0,-3410.5355077412373,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773313230.1222985
2700,33,-2343.6665585317,99.60965929203998,-2189.6964030943673,-3500.0,160.0,-3245.81359081857,0.8707703262153905,0.8707703262153905,0.7740180677470138,0.7740180677470138,1773313230.206172
2800,35,-2339.596569074859,98.87021751106606,-2187.4161360308417,-950.0,36.0,-932.656840905043,0.8690296563332859,0.8690296563332859,0.7724708056295875,0.7724708056295875,1773313230.2990735
2900,36,-2402.6167406211157,101.72670663551276,-2245.036452758884,-3600.0,156.0,-3339.822470591689,0.8681606266769526,0.8681606266769526,0.7716983348239579,0.7716983348239579,1773313230.3833308
3000,37,-2458.73590359006,104.59037130373711,-2296.0137402240407,-3525.0,159.0,-3264.5822020620226,0.8672924660502757,0.8672924660502757,0.770926636489134,0.770926636489134,1773313230.4691198
3100,38,-2523.299108410557,106.86085273855025,-2355.664402073228,-3750.0,150.0,-3489.026977207784,0.8664251735842253,0.8664251735842253,0.7701557098526448,0.7701557098526448,1773313230.5546715
3200,39,-2574.634152990029,109.41781010162273,-2402.010868056965,-3550.0,158.0,-3282.5937217479736,0.8655587484106411,0.8655587484106411,0.7693855541427922,0.7693855541427922,1773313230.6405714
3300,41,-2422.0573230735013,102.4495736167145,-2264.045921564054,-525.0,17.0,-520.3748310654479,0.8638284964725682,0.8638284964725682,0.7678475524200608,0.7678475524200608,1773313230.7320504
3400,42,-2434.704456919826,103.02709493587878,-2276.9447763291937,-2675.0,114.0,-2522.0230168668522,0.8629646679760956,0.8629646679760956,0.7670797048676407,0.7670797048676407,1773313230.8168495
