global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,4,-159.94265625,5.63404375,-156.82964487145247,-485.0,30.0,-476.51718869403794,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773321414.9617445
200,7,-274.1583349023437,11.69686326015625,-267.9026326904651,-1250.0,40.0,-1221.752694359415,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773321414.9750493
300,9,-348.37789724936516,13.368919092291016,-341.0317208999553,-670.0,23.0,-661.0545753324313,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773321414.987206
400,13,-580.1701934214657,21.335905656415356,-561.6871000613937,-850.0,26.0,-837.2690990588736,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773321415.0021827
500,15,-678.1660995628728,25.330654854914854,-656.8735669309656,-1595.0,55.0,-1550.2640061046682,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773321415.0145595
600,19,-802.196307882082,29.704714195920985,-776.6989320410306,-970.0,38.0,-949.8539854452199,0.8830530313779591,0.8830530313779591,0.7849360278915193,0.7849360278915193,1773321415.026133
700,21,-900.557167863579,33.70600456181869,-870.0314220728469,-2325.0,99.0,-2202.4811005108613,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773321415.0376594
800,25,-907.7903792071841,34.190238878129826,-878.9878338438243,-1120.0,44.0,-1091.3937690385146,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773321415.0555835
900,29,-964.9126563041212,35.50152575522973,-936.3202124398208,-1350.0,45.0,-1318.4979971521475,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773321415.0700533
1000,31,-976.0836723144693,35.24012699409482,-948.1511418466691,-775.0,26.0,-762.3966414525314,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773321415.0818381
1100,33,-1106.9155142638085,40.984214612170575,-1067.286412184418,-910.0,43.0,-894.1553687709091,0.8707703262153905,0.8707703262153905,0.7740180677470138,0.7740180677470138,1773321415.0953388
