global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
100,1,-183.75,7.65,-170.78885290324502,-3675.0,153.0,-3415.7770580649,0.8991,0.8991,0.7992,0.7992,1773319374.8208337
200,2,-364.5625,14.6675,-337.627665352912,-3800.0,148.0,-3507.5651018965846,0.8982009,0.8982009,0.7984008,0.7984008,1773319374.8345573
300,3,-535.0843749999999,21.384125,-497.0861441830588,-3775.0,149.0,-3526.797241955848,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773319374.8470447
400,4,-563.3301562499998,22.414918750000002,-525.9711753374771,-1100.0,42.0,-1074.7867672714265,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773319374.8616939
500,5,-726.4136484374998,28.644172812500003,-677.3657263503846,-3825.0,147.0,-3553.8621955956296,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773319374.8746736
600,7,-949.8383177148435,36.681365963281245,-888.400524076325,-2275.0,76.0,-2180.9198457501875,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773319374.887956
700,8,-1087.3464018291013,42.44729766511718,-1016.094453896561,-3700.0,152.0,-3442.279120481046,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773319374.9004827
800,9,-1216.729081737646,47.97493278186132,-1135.6303868749228,-3675.0,153.0,-3406.8131134637974,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773319374.9140801
900,10,-1344.6426276507636,53.02618614276825,-1254.6941451694588,-3775.0,149.0,-3516.905552765644,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773319374.9270778
1000,11,-1466.1604962682254,57.824876835629844,-1367.154354277238,-3775.0,149.0,-3503.898327325045,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773319374.941145
1100,12,-1570.3524714548141,62.83363299384835,-1462.752289527098,-3550.0,158.0,-3279.113059274437,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773319374.954368
1200,13,-1684.3348478820733,66.99195134415592,-1568.6780362187906,-3850.0,146.0,-3581.267223360952,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773319374.9672768
1300,14,-1726.1181054879696,68.39235377694811,-1610.3623680374744,-2520.0,95.0,-2402.364672592473,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773319374.9817085
