global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275174.7684143
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275174.7766726
60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275174.7849538
80,1,-136.0,5.1000000000000005,-128.86214249563622,-2720.0,102.0,-2577.2428499127245,0.8991,0.8991,0.7992,0.7992,1773275174.79567
100,1,-136.0,5.1000000000000005,-128.86214249563622,-2720.0,102.0,-2577.2428499127245,0.8991,0.8991,0.7992,0.7992,1773275174.8034954
120,1,-136.0,5.1000000000000005,-128.86214249563622,-2720.0,102.0,-2577.2428499127245,0.8991,0.8991,0.7992,0.7992,1773275174.829843
140,1,-136.0,5.1000000000000005,-128.86214249563622,-2720.0,102.0,-2577.2428499127245,0.8991,0.8991,0.7992,0.7992,1773275174.8369517
160,1,-136.0,5.1000000000000005,-128.86214249563622,-2720.0,102.0,-2577.2428499127245,0.8991,0.8991,0.7992,0.7992,1773275174.8444705
180,2,-326.7,11.945,-306.66642604715395,-3950.0,142.0,-3684.9478135259906,0.8982009,0.8982009,0.7984008,0.7984008,1773275174.8529897
200,2,-326.7,11.945,-306.66642604715395,-3950.0,142.0,-3684.9478135259906,0.8982009,0.8982009,0.7984008,0.7984008,1773275174.860224
220,2,-326.7,11.945,-306.66642604715395,-3950.0,142.0,-3684.9478135259906,0.8982009,0.8982009,0.7984008,0.7984008,1773275174.88672
240,2,-326.7,11.945,-306.66642604715395,-3950.0,142.0,-3684.9478135259906,0.8982009,0.8982009,0.7984008,0.7984008,1773275174.893365
260,2,-326.7,11.945,-306.66642604715395,-3950.0,142.0,-3684.9478135259906,0.8982009,0.8982009,0.7984008,0.7984008,1773275174.8994422
280,3,-502.86499999999995,18.647750000000002,-470.6458522040691,-3850.0,146.0,-3586.254949185457,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773275174.9061503
300,3,-502.86499999999995,18.647750000000002,-470.6458522040691,-3850.0,146.0,-3586.254949185457,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773275174.912373
320,3,-502.86499999999995,18.647750000000002,-470.6458522040691,-3850.0,146.0,-3586.254949185457,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773275174.9335883
340,3,-502.86499999999995,18.647750000000002,-470.6458522040691,-3850.0,146.0,-3586.254949185457,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773275174.9399433
360,3,-502.86499999999995,18.647750000000002,-470.6458522040691,-3850.0,146.0,-3586.254949185457,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773275174.946394
380,4,-660.2217499999999,25.4153625,-616.1799221296653,-3650.0,154.0,-3381.327250715992,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275174.9536934
400,4,-660.2217499999999,25.4153625,-616.1799221296653,-3650.0,154.0,-3381.327250715992,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275174.960439
420,4,-660.2217499999999,25.4153625,-616.1799221296653,-3650.0,154.0,-3381.327250715992,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275174.9852397
440,4,-660.2217499999999,25.4153625,-616.1799221296653,-3650.0,154.0,-3381.327250715992,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275174.9935384
460,4,-660.2217499999999,25.4153625,-616.1799221296653,-3650.0,154.0,-3381.327250715992,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275175.0013392
480,5,-810.9606624999999,31.794594375000003,-756.1297584131739,-3675.0,153.0,-3415.1766477998367,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773275175.0088348
500,5,-810.9606624999999,31.794594375000003,-756.1297584131739,-3675.0,153.0,-3415.1766477998367,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773275175.0155349
520,6,-852.9126293749998,33.75486465625,-797.7780894225775,-1650.0,71.0,-1589.0963786012444,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275175.0429225
540,6,-852.9126293749998,33.75486465625,-797.7780894225775,-1650.0,71.0,-1589.0963786012444,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275175.049175
560,6,-852.9126293749998,33.75486465625,-797.7780894225775,-1650.0,71.0,-1589.0963786012444,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275175.055926
580,6,-852.9126293749998,33.75486465625,-797.7780894225775,-1650.0,71.0,-1589.0963786012444,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275175.0622387
600,6,-852.9126293749998,33.75486465625,-797.7780894225775,-1650.0,71.0,-1589.0963786012444,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275175.06878
620,7,-992.7669979062498,39.7671214234375,-927.2151471232263,-3650.0,154.0,-3386.5192434355554,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275175.094731
640,7,-992.7669979062498,39.7671214234375,-927.2151471232263,-3650.0,154.0,-3386.5192434355554,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275175.1011982
660,7,-992.7669979062498,39.7671214234375,-927.2151471232263,-3650.0,154.0,-3386.5192434355554,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275175.1082466
680,7,-992.7669979062498,39.7671214234375,-927.2151471232263,-3650.0,154.0,-3386.5192434355554,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275175.1149158
700,7,-992.7669979062498,39.7671214234375,-927.2151471232263,-3650.0,154.0,-3386.5192434355554,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275175.121475
720,8,-1123.1286480109372,45.57876535226562,-1048.3166834306874,-3600.0,156.0,-3349.2458732724467,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773275175.1471474
