global_step,episode,running_reward,running_time,running_discounted_reward,episode_reward,episode_time,episode_discounted_reward,epsilon_low,epsilon_high,lr_low,lr_high,timestamp
20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275081.979263
40,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275081.9855595
60,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,0.8,1773275081.9916
80,1,-137.5,5.4,-130.02029297807186,-2750.0,108.0,-2600.405859561437,0.8991,0.8991,0.7992,0.7992,1773275082.0003657
100,1,-137.5,5.4,-130.02029297807186,-2750.0,108.0,-2600.405859561437,0.8991,0.8991,0.7992,0.7992,1773275082.0086975
120,1,-137.5,5.4,-130.02029297807186,-2750.0,108.0,-2600.405859561437,0.8991,0.8991,0.7992,0.7992,1773275082.0369005
140,1,-137.5,5.4,-130.02029297807186,-2750.0,108.0,-2600.405859561437,0.8991,0.8991,0.7992,0.7992,1773275082.044373
160,1,-137.5,5.4,-130.02029297807186,-2750.0,108.0,-2600.405859561437,0.8991,0.8991,0.7992,0.7992,1773275082.0507276
180,2,-313.125,12.83,-293.1018096516698,-3650.0,154.0,-3391.6506264500304,0.8982009,0.8982009,0.7984008,0.7984008,1773275082.0573988
200,2,-313.125,12.83,-293.1018096516698,-3650.0,154.0,-3391.6506264500304,0.8982009,0.8982009,0.7984008,0.7984008,1773275082.0640774
220,2,-313.125,12.83,-293.1018096516698,-3650.0,154.0,-3391.6506264500304,0.8982009,0.8982009,0.7984008,0.7984008,1773275082.0897584
240,3,-422.46875,15.9885,-398.46862001156745,-2500.0,76.0,-2400.4380168496227,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773275082.0965903
260,3,-422.46875,15.9885,-398.46862001156745,-2500.0,76.0,-2400.4380168496227,0.8973026990999999,0.8973026990999999,0.7976023992,0.7976023992,1773275082.1036725
280,4,-472.5953125,17.989075,-447.77624499011534,-1425.0,56.0,-1384.621119582525,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275082.1107419
300,4,-472.5953125,17.989075,-447.77624499011534,-1425.0,56.0,-1384.621119582525,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275082.1182263
320,4,-472.5953125,17.989075,-447.77624499011534,-1425.0,56.0,-1384.621119582525,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275082.1468258
340,4,-472.5953125,17.989075,-447.77624499011534,-1425.0,56.0,-1384.621119582525,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275082.154656
360,4,-472.5953125,17.989075,-447.77624499011534,-1425.0,56.0,-1384.621119582525,0.8964053964008999,0.8964053964008999,0.7968047968008,0.7968047968008,1773275082.1618774
380,5,-632.715546875,24.73962125,-596.1369910477479,-3675.0,153.0,-3414.991166142767,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773275082.1690183
400,5,-632.715546875,24.73962125,-596.1369910477479,-3675.0,153.0,-3414.991166142767,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773275082.176541
420,5,-632.715546875,24.73962125,-596.1369910477479,-3675.0,153.0,-3414.991166142767,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773275082.2046847
440,5,-632.715546875,24.73962125,-596.1369910477479,-3675.0,153.0,-3414.991166142767,0.895508991004499,0.895508991004499,0.7960079920039992,0.7960079920039992,1773275082.2129521
460,6,-778.5797695312499,30.0026401875,-732.5849418414052,-3550.0,130.0,-3325.096006920895,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275082.2242217
480,6,-778.5797695312499,30.0026401875,-732.5849418414052,-3550.0,130.0,-3325.096006920895,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275082.2314868
500,6,-778.5797695312499,30.0026401875,-732.5849418414052,-3550.0,130.0,-3325.096006920895,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275082.2421887
520,6,-778.5797695312499,30.0026401875,-732.5849418414052,-3550.0,130.0,-3325.096006920895,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275082.2740428
540,6,-778.5797695312499,30.0026401875,-732.5849418414052,-3550.0,130.0,-3325.096006920895,0.8946134820134944,0.8946134820134944,0.7952119840119952,0.7952119840119952,1773275082.2910006
560,7,-928.4007810546874,35.952508178125,-871.13022564499,-3775.0,149.0,-3503.4906179131003,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275082.306782
580,7,-928.4007810546874,35.952508178125,-871.13022564499,-3775.0,149.0,-3503.4906179131003,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275082.3185198
600,7,-928.4007810546874,35.952508178125,-871.13022564499,-3775.0,149.0,-3503.4906179131003,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275082.329375
620,7,-928.4007810546874,35.952508178125,-871.13022564499,-3775.0,149.0,-3503.4906179131003,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275082.3568006
640,7,-928.4007810546874,35.952508178125,-871.13022564499,-3775.0,149.0,-3503.4906179131003,0.893718868531481,0.893718868531481,0.7944167720279832,0.7944167720279832,1773275082.364297
660,8,-1064.4807420019529,41.854882769218754,-996.769696551671,-3650.0,154.0,-3383.919643778611,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773275082.3724124
680,8,-1064.4807420019529,41.854882769218754,-996.769696551671,-3650.0,154.0,-3383.919643778611,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773275082.3801117
700,8,-1064.4807420019529,41.854882769218754,-996.769696551671,-3650.0,154.0,-3383.919643778611,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773275082.388007
720,8,-1064.4807420019529,41.854882769218754,-996.769696551671,-3650.0,154.0,-3383.919643778611,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773275082.4142342
740,8,-1064.4807420019529,41.854882769218754,-996.769696551671,-3650.0,154.0,-3383.919643778611,0.8928251496629495,0.8928251496629495,0.7936223552559553,0.7936223552559553,1773275082.4216883
760,9,-1195.0067049018553,47.412138630757816,-1117.3204290242052,-3675.0,153.0,-3407.784346002355,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773275082.4304886
780,9,-1195.0067049018553,47.412138630757816,-1117.3204290242052,-3675.0,153.0,-3407.784346002355,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773275082.4385726
800,9,-1195.0067049018553,47.412138630757816,-1117.3204290242052,-3675.0,153.0,-3407.784346002355,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773275082.4470594
820,9,-1195.0067049018553,47.412138630757816,-1117.3204290242052,-3675.0,153.0,-3407.784346002355,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773275082.4746287
840,9,-1195.0067049018553,47.412138630757816,-1117.3204290242052,-3675.0,153.0,-3407.784346002355,0.8919323245132865,0.8919323245132865,0.7928287329006993,0.7928287329006993,1773275082.4825516
860,10,-1321.5063696567624,52.59153169921993,-1234.4765272479149,-3725.0,151.0,-3460.4423934983993,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773275082.4905074
880,10,-1321.5063696567624,52.59153169921993,-1234.4765272479149,-3725.0,151.0,-3460.4423934983993,0.8910403921887733,0.8910403921887733,0.7920359041677987,0.7920359041677987,1773275082.4983222
900,11,-1326.6810511739243,52.46195511425893,-1242.1221135482695,-1425.0,50.0,-1387.3882532550062,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773275082.5062807
920,11,-1326.6810511739243,52.46195511425893,-1242.1221135482695,-1425.0,50.0,-1387.3882532550062,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773275082.534043
940,11,-1326.6810511739243,52.46195511425893,-1242.1221135482695,-1425.0,50.0,-1387.3882532550062,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773275082.541909
960,11,-1326.6810511739243,52.46195511425893,-1242.1221135482695,-1425.0,50.0,-1387.3882532550062,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773275082.5496721
980,11,-1326.6810511739243,52.46195511425893,-1242.1221135482695,-1425.0,50.0,-1387.3882532550062,0.8901493517965845,0.8901493517965845,0.7912438682636309,0.7912438682636309,1773275082.5582314
1000,12,-1450.346998615228,57.23885735854598,-1356.287490634272,-3800.0,148.0,-3525.429655268322,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773275082.5663025
1020,12,-1450.346998615228,57.23885735854598,-1356.287490634272,-3800.0,148.0,-3525.429655268322,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773275082.5945792
1040,12,-1450.346998615228,57.23885735854598,-1356.287490634272,-3800.0,148.0,-3525.429655268322,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773275082.6030388
1060,12,-1450.346998615228,57.23885735854598,-1356.287490634272,-3800.0,148.0,-3525.429655268322,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773275082.611869
1080,12,-1450.346998615228,57.23885735854598,-1356.287490634272,-3800.0,148.0,-3525.429655268322,0.889259202444788,0.889259202444788,0.7904526243953672,0.7904526243953672,1773275082.620074
1100,13,-1564.0796486844665,61.92691449061867,-1462.0469181664291,-3725.0,151.0,-3471.476041277415,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773275082.6286955
1120,13,-1564.0796486844665,61.92691449061867,-1462.0469181664291,-3725.0,151.0,-3471.476041277415,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773275082.6594985
1140,13,-1564.0796486844665,61.92691449061867,-1462.0469181664291,-3725.0,151.0,-3471.476041277415,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773275082.6677988
1160,13,-1564.0796486844665,61.92691449061867,-1462.0469181664291,-3725.0,151.0,-3471.476041277415,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773275082.6763723
1180,13,-1564.0796486844665,61.92691449061867,-1462.0469181664291,-3725.0,151.0,-3471.476041277415,0.8883699432423432,0.8883699432423432,0.7896621717709719,0.7896621717709719,1773275082.6843991
1200,14,-1675.875666250243,66.23056876608774,-1565.9822667500596,-3800.0,148.0,-3540.75388983904,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773275082.6930063
1220,14,-1675.875666250243,66.23056876608774,-1565.9822667500596,-3800.0,148.0,-3540.75388983904,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773275082.7231562
1240,14,-1675.875666250243,66.23056876608774,-1565.9822667500596,-3800.0,148.0,-3540.75388983904,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773275082.7323463
1260,14,-1675.875666250243,66.23056876608774,-1565.9822667500596,-3800.0,148.0,-3540.75388983904,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773275082.7407176
1280,14,-1675.875666250243,66.23056876608774,-1565.9822667500596,-3800.0,148.0,-3540.75388983904,0.8874815732991008,0.8874815732991008,0.7888725095992009,0.7888725095992009,1773275082.7501314
1300,15,-1783.3318829377308,70.26904032778334,-1665.1556581511707,-3825.0,147.0,-3549.450094772282,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773275082.764363
1320,15,-1783.3318829377308,70.26904032778334,-1665.1556581511707,-3825.0,147.0,-3549.450094772282,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773275082.7960014
1340,15,-1783.3318829377308,70.26904032778334,-1665.1556581511707,-3825.0,147.0,-3549.450094772282,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773275082.8092031
1360,15,-1783.3318829377308,70.26904032778334,-1665.1556581511707,-3825.0,147.0,-3549.450094772282,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773275082.8213341
1380,15,-1783.3318829377308,70.26904032778334,-1665.1556581511707,-3825.0,147.0,-3549.450094772282,0.8865940917258017,0.8865940917258017,0.7880836370896016,0.7880836370896016,1773275082.8319612
1400,16,-1876.6652887908442,74.45558831139418,-1751.4299185452828,-3650.0,154.0,-3390.640866033411,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773275082.843601
1420,16,-1876.6652887908442,74.45558831139418,-1751.4299185452828,-3650.0,154.0,-3390.640866033411,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773275082.8832583
1440,16,-1876.6652887908442,74.45558831139418,-1751.4299185452828,-3650.0,154.0,-3390.640866033411,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773275082.895621
1460,16,-1876.6652887908442,74.45558831139418,-1751.4299185452828,-3650.0,154.0,-3390.640866033411,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773275082.9112298
1480,16,-1876.6652887908442,74.45558831139418,-1751.4299185452828,-3650.0,154.0,-3390.640866033411,0.885707497634076,0.885707497634076,0.787295553452512,0.787295553452512,1773275082.9269845
1500,17,-1979.082024351302,77.88280889582447,-1845.7473431985677,-3925.0,143.0,-3637.7784116109824,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773275082.9430408
1520,17,-1979.082024351302,77.88280889582447,-1845.7473431985677,-3925.0,143.0,-3637.7784116109824,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773275082.9730222
1540,17,-1979.082024351302,77.88280889582447,-1845.7473431985677,-3925.0,143.0,-3637.7784116109824,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773275082.983581
1560,17,-1979.082024351302,77.88280889582447,-1845.7473431985677,-3925.0,143.0,-3637.7784116109824,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773275082.9948547
1580,17,-1979.082024351302,77.88280889582447,-1845.7473431985677,-3925.0,143.0,-3637.7784116109824,0.8848217901364419,0.8848217901364419,0.7865082578990595,0.7865082578990595,1773275083.010492
1600,18,-2063.8779231337367,81.63866845103324,-1924.1414699064503,-3675.0,153.0,-3413.6298773562226,0.8839369683463054,0.8839369683463054,0.7857217496411605,0.7857217496411605,1773275083.0220904
1620,18,-2063.8779231337367,81.63866845103324,-1924.1414699064503,-3675.0,153.0,-3413.6298773562226,0.8839369683463054,0.8839369683463054,0.7857217496411605,0.7857217496411605,1773275083.0500636
1640,18,-2063.8779231337367,81.63866845103324,-1924.1414699064503,-3675.0,153.0,-3413.6298773562226,0.8839369683463054,0.8839369683463054,0.7857217496411605,0.7857217496411605,1773275083.0587409
1660,18,-2063.8779231337367,81.63866845103324,-1924.1414699064503,-3675.0,153.0,-3413.6298773562226,0.8839369683463054,0.8839369683463054,0.7857217496411605,0.7857217496411605,1773275083.0674114
1680,19,-2109.43402697705,83.55673502848157,-1968.0877385845743,-2975.0,120.0,-2803.066843468934,0.8830530313779591,0.8830530313779591,0.7849360278915193,0.7849360278915193,1773275083.0765772
1700,19,-2109.43402697705,83.55673502848157,-1968.0877385845743,-2975.0,120.0,-2803.066843468934,0.8830530313779591,0.8830530313779591,0.7849360278915193,0.7849360278915193,1773275083.0877721
1720,21,-1984.4517093467875,78.4449533632046,-1855.4416115628492,-450.0,17.0,-445.7244053932437,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773275083.1227562
1740,21,-1984.4517093467875,78.4449533632046,-1855.4416115628492,-450.0,17.0,-445.7244053932437,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773275083.132124
1760,21,-1984.4517093467875,78.4449533632046,-1855.4416115628492,-450.0,17.0,-445.7244053932437,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773275083.1416023
1780,21,-1984.4517093467875,78.4449533632046,-1855.4416115628492,-450.0,17.0,-445.7244053932437,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773275083.1500523
1800,21,-1984.4517093467875,78.4449533632046,-1855.4416115628492,-450.0,17.0,-445.7244053932437,0.8812878083682346,0.8812878083682346,0.7833669407717642,0.7833669407717642,1773275083.1596005
1820,22,-2075.229123879448,81.92270569504437,-1939.2122728566276,-3800.0,148.0,-3530.8548374384177,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773275083.188039
1840,22,-2075.229123879448,81.92270569504437,-1939.2122728566276,-3800.0,148.0,-3530.8548374384177,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773275083.1968277
1860,22,-2075.229123879448,81.92270569504437,-1939.2122728566276,-3800.0,148.0,-3530.8548374384177,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773275083.2056274
1880,22,-2075.229123879448,81.92270569504437,-1939.2122728566276,-3800.0,148.0,-3530.8548374384177,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773275083.214988
1900,22,-2075.229123879448,81.92270569504437,-1939.2122728566276,-3800.0,148.0,-3530.8548374384177,0.8804065205598663,0.8804065205598663,0.7825835738309924,0.7825835738309924,1773275083.2241662
1920,23,-2163.967667685475,85.12657041029215,-2021.0582530847428,-3850.0,146.0,-3576.131877418936,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773275083.2520113
1940,23,-2163.967667685475,85.12657041029215,-2021.0582530847428,-3850.0,146.0,-3576.131877418936,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773275083.2607868
1960,23,-2163.967667685475,85.12657041029215,-2021.0582530847428,-3850.0,146.0,-3576.131877418936,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773275083.270596
1980,23,-2163.967667685475,85.12657041029215,-2021.0582530847428,-3850.0,146.0,-3576.131877418936,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773275083.280447
2000,23,-2163.967667685475,85.12657041029215,-2021.0582530847428,-3850.0,146.0,-3576.131877418936,0.8795261140393065,0.8795261140393065,0.7818009902571614,0.7818009902571614,1773275083.2902389
2020,24,-2242.0192843012014,88.42024188977753,-2092.830329874243,-3725.0,151.0,-3456.4997888747507,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773275083.3179758
2040,24,-2242.0192843012014,88.42024188977753,-2092.830329874243,-3725.0,151.0,-3456.4997888747507,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773275083.3272388
2060,24,-2242.0192843012014,88.42024188977753,-2092.830329874243,-3725.0,151.0,-3456.4997888747507,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773275083.3358877
2080,24,-2242.0192843012014,88.42024188977753,-2092.830329874243,-3725.0,151.0,-3456.4997888747507,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773275083.3447945
2100,24,-2242.0192843012014,88.42024188977753,-2092.830329874243,-3725.0,151.0,-3456.4997888747507,0.8786465879252672,0.8786465879252672,0.7810191892669043,0.7810191892669043,1773275083.3532941
2120,25,-2317.418320086141,91.49922979528864,-2162.2392906047103,-3750.0,150.0,-3481.009544483592,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773275083.3828135
2140,25,-2317.418320086141,91.49922979528864,-2162.2392906047103,-3750.0,150.0,-3481.009544483592,0.8777679413373419,0.8777679413373419,0.7802381700776374,0.7802381700776374,1773275083.3922122
2160,26,-2254.047404081834,89.12426830552421,-2105.4272537103107,-1050.0,44.0,-1025.9985527167148,0.8768901733960046,0.8768901733960046,0.7794579319075597,0.7794579319075597,1773275083.4017844
2180,26,-2254.047404081834,89.12426830552421,-2105.4272537103107,-1050.0,44.0,-1025.9985527167148,0.8768901733960046,0.8768901733960046,0.7794579319075597,0.7794579319075597,1773275083.410972
2200,26,-2254.047404081834,89.12426830552421,-2105.4272537103107,-1050.0,44.0,-1025.9985527167148,0.8768901733960046,0.8768901733960046,0.7794579319075597,0.7794579319075597,1773275083.4201949
2220,26,-2254.047404081834,89.12426830552421,-2105.4272537103107,-1050.0,44.0,-1025.9985527167148,0.8768901733960046,0.8768901733960046,0.7794579319075597,0.7794579319075597,1773275083.44901
2240,26,-2254.047404081834,89.12426830552421,-2105.4272537103107,-1050.0,44.0,-1025.9985527167148,0.8768901733960046,0.8768901733960046,0.7794579319075597,0.7794579319075597,1773275083.4576309
2260,27,-2323.845033877742,92.368054890248,-2168.7192845737927,-3650.0,154.0,-3371.267870979957,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773275083.4666085
2280,27,-2323.845033877742,92.368054890248,-2168.7192845737927,-3650.0,154.0,-3371.267870979957,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773275083.475054
2300,27,-2323.845033877742,92.368054890248,-2168.7192845737927,-3650.0,154.0,-3371.267870979957,0.8760132832226086,0.8760132832226086,0.7786784739756522,0.7786784739756522,1773275083.4833932
2320,28,-2332.652782183855,92.8996521457356,-2178.876752263359,-2500.0,103.0,-2371.868638365125,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773275083.5151553
2340,28,-2332.652782183855,92.8996521457356,-2178.876752263359,-2500.0,103.0,-2371.868638365125,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773275083.5255296
2360,28,-2332.652782183855,92.8996521457356,-2178.876752263359,-2500.0,103.0,-2371.868638365125,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773275083.5343513
2380,28,-2332.652782183855,92.8996521457356,-2178.876752263359,-2500.0,103.0,-2371.868638365125,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773275083.5441694
2400,28,-2332.652782183855,92.8996521457356,-2178.876752263359,-2500.0,103.0,-2371.868638365125,0.875137269939386,0.875137269939386,0.7778997955016765,0.7778997955016765,1773275083.5560877
2420,29,-2399.770143074662,95.90466953844883,-2239.4429035136473,-3675.0,153.0,-3390.19977726913,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773275083.5881805
2440,29,-2399.770143074662,95.90466953844883,-2239.4429035136473,-3675.0,153.0,-3390.19977726913,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773275083.599245
2460,29,-2399.770143074662,95.90466953844883,-2239.4429035136473,-3675.0,153.0,-3390.19977726913,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773275083.6097956
2480,29,-2399.770143074662,95.90466953844883,-2239.4429035136473,-3675.0,153.0,-3390.19977726913,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773275083.6207454
2500,29,-2399.770143074662,95.90466953844883,-2239.4429035136473,-3675.0,153.0,-3390.19977726913,0.8742621326694466,0.8742621326694466,0.7771218957061748,0.7771218957061748,1773275083.629735
2520,30,-2463.5316359209287,98.75943606152639,-2297.81816623439,-3675.0,153.0,-3406.948157928502,0.8733878705367771,0.8733878705367771,0.7763447738104686,0.7763447738104686,1773275083.6578555
2540,30,-2463.5316359209287,98.75943606152639,-2297.81816623439,-3675.0,153.0,-3406.948157928502,0.8733878705367771,0.8733878705367771,0.7763447738104686,0.7763447738104686,1773275083.6668499
2560,30,-2463.5316359209287,98.75943606152639,-2297.81816623439,-3675.0,153.0,-3406.948157928502,0.8733878705367771,0.8733878705367771,0.7763447738104686,0.7763447738104686,1773275083.677242
2580,31,-2458.8550541248824,98.27146425845007,-2295.951104565063,-2370.0,89.0,-2260.4769328478487,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773275083.688461
2600,31,-2458.8550541248824,98.27146425845007,-2295.951104565063,-2370.0,89.0,-2260.4769328478487,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773275083.711627
2620,31,-2458.8550541248824,98.27146425845007,-2295.951104565063,-2370.0,89.0,-2260.4769328478487,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773275083.815367
2640,31,-2458.8550541248824,98.27146425845007,-2295.951104565063,-2370.0,89.0,-2260.4769328478487,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773275083.8476443
2660,31,-2458.8550541248824,98.27146425845007,-2295.951104565063,-2370.0,89.0,-2260.4769328478487,0.8725144826662403,0.8725144826662403,0.7755684290366581,0.7755684290366581,1773275083.8848317
2680,32,-2492.912301418638,100.85789104552755,-2326.5509640392147,-3140.0,150.0,-2907.9482940481007,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773275083.9280114
2700,32,-2492.912301418638,100.85789104552755,-2326.5509640392147,-3140.0,150.0,-2907.9482940481007,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773275083.9746041
2720,32,-2492.912301418638,100.85789104552755,-2326.5509640392147,-3140.0,150.0,-2907.9482940481007,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773275084.1194918
2740,32,-2492.912301418638,100.85789104552755,-2326.5509640392147,-3140.0,150.0,-2907.9482940481007,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773275084.2004147
2760,32,-2492.912301418638,100.85789104552755,-2326.5509640392147,-3140.0,150.0,-2907.9482940481007,0.8716419681835741,0.8716419681835741,0.7747928606076214,0.7747928606076214,1773275084.233943
2780,33,-2552.016686347706,103.46499649325118,-2379.939911270974,-3675.0,153.0,-3394.329908674398,0.8707703262153905,0.8707703262153905,0.7740180677470138,0.7740180677470138,1773275084.265711
